% Cell temperature for the location [die1, x=5000.000,y=4800.000]
% Nearest [column, row] indices found= [100,24] (locations [x=4975.000,y=4800.000])
% Time(s) 	 Temperature(K)
0.002000 	 305.745
0.004000 	 310.130
0.006000 	 313.672
0.008000 	 316.488
0.010000 	 318.668
0.012000 	 320.315
0.014000 	 321.533
0.016000 	 322.420
0.018000 	 323.056
0.020000 	 323.509
0.022000 	 323.827
0.024000 	 324.050
0.026000 	 324.204
0.028000 	 324.311
0.030000 	 324.384
0.032000 	 324.435
0.034000 	 324.469
0.036000 	 324.492
0.038000 	 324.508
0.040000 	 324.519
0.042000 	 324.526
0.044000 	 324.531
0.046000 	 324.535
0.048000 	 324.537
0.050000 	 324.538
0.052000 	 324.539
0.054000 	 324.540
0.056000 	 324.540
0.058000 	 324.541
0.060000 	 324.541
0.062000 	 324.541
0.064000 	 324.541
0.066000 	 324.541
0.068000 	 324.541
0.070000 	 324.541
0.072000 	 324.541
0.074000 	 324.541
0.076000 	 324.541
0.078000 	 324.541
0.080000 	 324.541
0.082000 	 318.796
0.084000 	 314.411
0.086000 	 310.870
0.088000 	 308.054
0.090000 	 305.873
0.092000 	 304.226
0.094000 	 303.008
0.096000 	 302.121
0.098000 	 301.485
0.100000 	 301.033
0.102000 	 300.714
0.104000 	 300.492
0.106000 	 300.337
0.108000 	 300.230
0.110000 	 300.157
0.112000 	 300.107
0.114000 	 300.072
0.116000 	 300.049
0.118000 	 300.033
0.120000 	 300.022
0.122000 	 300.015
0.124000 	 300.010
0.126000 	 300.007
0.128000 	 300.005
0.130000 	 300.003
0.132000 	 300.002
0.134000 	 300.001
0.136000 	 300.001
0.138000 	 300.001
0.140000 	 300.000
0.142000 	 300.000
0.144000 	 300.000
0.146000 	 300.000
0.148000 	 300.000
0.150000 	 300.000
0.152000 	 300.000
0.154000 	 300.000
0.156000 	 300.000
0.158000 	 300.000
0.160000 	 300.000
0.162000 	 305.745
0.164000 	 310.130
0.166000 	 313.672
0.168000 	 316.488
0.170000 	 318.668
0.172000 	 320.315
0.174000 	 321.533
0.176000 	 322.420
0.178000 	 323.056
0.180000 	 323.509
0.182000 	 323.827
0.184000 	 324.050
0.186000 	 324.204
0.188000 	 324.311
0.190000 	 324.384
0.192000 	 324.435
0.194000 	 324.469
0.196000 	 324.492
0.198000 	 324.508
0.200000 	 324.519
0.202000 	 324.526
0.204000 	 324.531
0.206000 	 324.535
0.208000 	 324.537
0.210000 	 324.538
0.212000 	 324.539
0.214000 	 324.540
0.216000 	 324.540
0.218000 	 324.541
0.220000 	 324.541
0.222000 	 324.541
0.224000 	 324.541
0.226000 	 324.541
0.228000 	 324.541
0.230000 	 324.541
0.232000 	 324.541
0.234000 	 324.541
0.236000 	 324.541
0.238000 	 324.541
0.240000 	 324.541
