% Cell temperature for the location [die2, x=0.000,y=0.000]
% Nearest [column, row] indices found= [0,0] (locations [x=0.000,y=0.000])
% Time(s) 	 Temperature(K)
0.002000 	 304.783
0.004000 	 307.429
0.006000 	 308.963
0.008000 	 309.865
0.010000 	 310.401
0.012000 	 310.722
0.014000 	 310.916
0.016000 	 311.034
0.018000 	 311.107
0.020000 	 311.151
0.022000 	 311.179
0.024000 	 311.196
0.026000 	 311.207
0.028000 	 311.213
0.030000 	 311.217
0.032000 	 311.220
0.034000 	 311.221
0.036000 	 311.222
0.038000 	 311.223
0.040000 	 311.224
0.042000 	 311.224
0.044000 	 311.224
0.046000 	 311.224
0.048000 	 311.224
0.050000 	 311.224
0.052000 	 311.224
0.054000 	 311.224
0.056000 	 311.224
0.058000 	 311.224
0.060000 	 311.224
0.062000 	 311.224
0.064000 	 311.224
0.066000 	 311.224
0.068000 	 311.224
0.070000 	 311.224
0.072000 	 311.224
0.074000 	 311.224
0.076000 	 311.224
0.078000 	 311.224
0.080000 	 311.224
0.082000 	 306.441
0.084000 	 303.795
0.086000 	 302.260
0.088000 	 301.358
0.090000 	 300.822
0.092000 	 300.500
0.094000 	 300.306
0.096000 	 300.187
0.098000 	 300.114
0.100000 	 300.069
0.102000 	 300.041
0.104000 	 300.024
0.106000 	 300.013
0.108000 	 300.006
0.110000 	 300.002
0.112000 	 300.000
0.114000 	 299.998
0.116000 	 299.997
0.118000 	 299.996
0.120000 	 299.996
0.122000 	 299.996
0.124000 	 299.995
0.126000 	 299.995
0.128000 	 299.995
0.130000 	 299.995
0.132000 	 299.995
0.134000 	 299.995
0.136000 	 299.995
0.138000 	 299.995
0.140000 	 299.995
0.142000 	 299.995
0.144000 	 299.995
0.146000 	 299.995
0.148000 	 299.995
0.150000 	 299.995
0.152000 	 299.995
0.154000 	 299.995
0.156000 	 299.995
0.158000 	 299.995
0.160000 	 299.995
0.162000 	 304.778
0.164000 	 307.424
0.166000 	 308.959
0.168000 	 309.861
0.170000 	 310.397
0.172000 	 310.719
0.174000 	 310.914
0.176000 	 311.032
0.178000 	 311.105
0.180000 	 311.150
0.182000 	 311.178
0.184000 	 311.195
0.186000 	 311.206
0.188000 	 311.213
0.190000 	 311.217
0.192000 	 311.220
0.194000 	 311.221
0.196000 	 311.222
0.198000 	 311.223
0.200000 	 311.223
0.202000 	 311.224
0.204000 	 311.224
0.206000 	 311.224
0.208000 	 311.224
0.210000 	 311.224
0.212000 	 311.224
0.214000 	 311.224
0.216000 	 311.224
0.218000 	 311.224
0.220000 	 311.224
0.222000 	 311.224
0.224000 	 311.224
0.226000 	 311.224
0.228000 	 311.224
0.230000 	 311.224
0.232000 	 311.224
0.234000 	 311.224
0.236000 	 311.224
0.238000 	 311.224
0.240000 	 311.224
