% Cell temperature for the location [die1, x=5000.000,y=4800.000]
% Nearest [column, row] indices found= [100,24] (locations [x=4975.000,y=4800.000])
% Time(s) 	 Temperature(K)
0.002000 	 304.914
0.004000 	 308.483
0.006000 	 311.265
0.008000 	 313.390
0.010000 	 314.962
0.012000 	 316.089
0.014000 	 316.878
0.016000 	 317.420
0.018000 	 317.785
0.020000 	 318.030
0.022000 	 318.191
0.024000 	 318.296
0.026000 	 318.365
0.028000 	 318.409
0.030000 	 318.438
0.032000 	 318.456
0.034000 	 318.468
0.036000 	 318.475
0.038000 	 318.480
0.040000 	 318.483
0.042000 	 318.485
0.044000 	 318.486
0.046000 	 318.487
0.048000 	 318.487
0.050000 	 318.487
0.052000 	 318.488
0.054000 	 318.488
0.056000 	 318.488
0.058000 	 318.488
0.060000 	 318.488
0.062000 	 318.488
0.064000 	 318.488
0.066000 	 318.488
0.068000 	 318.488
0.070000 	 318.488
0.072000 	 318.488
0.074000 	 318.488
0.076000 	 318.488
0.078000 	 318.488
0.080000 	 318.488
0.082000 	 313.574
0.084000 	 310.005
0.086000 	 307.223
0.088000 	 305.098
0.090000 	 303.526
0.092000 	 302.399
0.094000 	 301.610
0.096000 	 301.068
0.098000 	 300.702
0.100000 	 300.458
0.102000 	 300.297
0.104000 	 300.192
0.106000 	 300.123
0.108000 	 300.079
0.110000 	 300.050
0.112000 	 300.032
0.114000 	 300.020
0.116000 	 300.013
0.118000 	 300.008
0.120000 	 300.005
0.122000 	 300.003
0.124000 	 300.002
0.126000 	 300.001
0.128000 	 300.001
0.130000 	 300.000
0.132000 	 300.000
0.134000 	 300.000
0.136000 	 300.000
0.138000 	 300.000
0.140000 	 300.000
0.142000 	 300.000
0.144000 	 300.000
0.146000 	 300.000
0.148000 	 300.000
0.150000 	 300.000
0.152000 	 300.000
0.154000 	 300.000
0.156000 	 300.000
0.158000 	 300.000
0.160000 	 300.000
0.162000 	 304.914
0.164000 	 308.483
0.166000 	 311.265
0.168000 	 313.390
0.170000 	 314.962
0.172000 	 316.089
0.174000 	 316.878
0.176000 	 317.420
0.178000 	 317.785
0.180000 	 318.030
0.182000 	 318.191
0.184000 	 318.296
0.186000 	 318.365
0.188000 	 318.409
0.190000 	 318.438
0.192000 	 318.456
0.194000 	 318.468
0.196000 	 318.475
0.198000 	 318.480
0.200000 	 318.483
0.202000 	 318.485
0.204000 	 318.486
0.206000 	 318.487
0.208000 	 318.487
0.210000 	 318.487
0.212000 	 318.488
0.214000 	 318.488
0.216000 	 318.488
0.218000 	 318.488
0.220000 	 318.488
0.222000 	 318.488
0.224000 	 318.488
0.226000 	 318.488
0.228000 	 318.488
0.230000 	 318.488
0.232000 	 318.488
0.234000 	 318.488
0.236000 	 318.488
0.238000 	 318.488
0.240000 	 318.488
