% Cell temperature for the location [die4, x=0.000,y=0.000]
% Nearest [column, row] indices found= [0,0] (locations [x=0.000,y=0.000])
% Time(s) 	 Temperature(K)
0.002000 	 304.006
0.004000 	 306.012
0.006000 	 307.120
0.008000 	 307.753
0.010000 	 308.122
0.012000 	 308.341
0.014000 	 308.474
0.016000 	 308.555
0.018000 	 308.605
0.020000 	 308.636
0.022000 	 308.655
0.024000 	 308.668
0.026000 	 308.676
0.028000 	 308.681
0.030000 	 308.684
0.032000 	 308.686
0.034000 	 308.687
0.036000 	 308.688
0.038000 	 308.689
0.040000 	 308.689
0.042000 	 308.689
0.044000 	 308.690
0.046000 	 308.690
0.048000 	 308.690
0.050000 	 308.690
0.052000 	 308.690
0.054000 	 308.690
0.056000 	 308.690
0.058000 	 308.690
0.060000 	 308.690
0.062000 	 308.690
0.064000 	 308.690
0.066000 	 308.690
0.068000 	 308.690
0.070000 	 308.690
0.072000 	 308.690
0.074000 	 308.690
0.076000 	 308.690
0.078000 	 308.690
0.080000 	 308.690
0.082000 	 304.684
0.084000 	 302.677
0.086000 	 301.569
0.088000 	 300.937
0.090000 	 300.568
0.092000 	 300.349
0.094000 	 300.216
0.096000 	 300.135
0.098000 	 300.085
0.100000 	 300.054
0.102000 	 300.034
0.104000 	 300.022
0.106000 	 300.014
0.108000 	 300.009
0.110000 	 300.006
0.112000 	 300.004
0.114000 	 300.002
0.116000 	 300.002
0.118000 	 300.001
0.120000 	 300.001
0.122000 	 300.000
0.124000 	 300.000
0.126000 	 300.000
0.128000 	 300.000
0.130000 	 300.000
0.132000 	 300.000
0.134000 	 300.000
0.136000 	 300.000
0.138000 	 300.000
0.140000 	 300.000
0.142000 	 300.000
0.144000 	 300.000
0.146000 	 300.000
0.148000 	 300.000
0.150000 	 300.000
0.152000 	 300.000
0.154000 	 300.000
0.156000 	 300.000
0.158000 	 300.000
0.160000 	 300.000
0.162000 	 304.006
0.164000 	 306.012
0.166000 	 307.120
0.168000 	 307.753
0.170000 	 308.122
0.172000 	 308.341
0.174000 	 308.474
0.176000 	 308.555
0.178000 	 308.605
0.180000 	 308.636
0.182000 	 308.655
0.184000 	 308.668
0.186000 	 308.676
0.188000 	 308.681
0.190000 	 308.684
0.192000 	 308.686
0.194000 	 308.687
0.196000 	 308.688
0.198000 	 308.689
0.200000 	 308.689
0.202000 	 308.689
0.204000 	 308.690
0.206000 	 308.690
0.208000 	 308.690
0.210000 	 308.690
0.212000 	 308.690
0.214000 	 308.690
0.216000 	 308.690
0.218000 	 308.690
0.220000 	 308.690
0.222000 	 308.690
0.224000 	 308.690
0.226000 	 308.690
0.228000 	 308.690
0.230000 	 308.690
0.232000 	 308.690
0.234000 	 308.690
0.236000 	 308.690
0.238000 	 308.690
0.240000 	 308.690
